Men,Women
168,163
128,138
123,120
97,123
107,123
97,115
113,72
106,74
63,85
74,83
109,69
69,76
58,92
83,71
76,83
78,77
82,61
96,85
469,606
831,992
898,965
892,988
710,745
490,558
462,664
587,750
534,667
581,588
594,528
441,431
444,477
361,356
352,332
323,301
335,264
244,235
225,212
200,181
219,199
187,205
161,209
152,152
138,156
125,144
153,118
127,137
139,140
120,158
119,142
111,140
143,188
120,136
129,153
130,148
122,151
128,175
137,159
128,183
125,152
136,178
134,178
117,159
136,177
149,197
123,169
151,149
105,165
120,160
112,115
81,116
83,93
76,106
68,87
68,94
71,79
75,92
70,74
53,67
46,66
46,72
56,69
52,68
40,67
42,51
31,58
41,67
31,52
25,51
28,41
23,39
19,38
17,30
10,34
7,18
1,15
6,16
5,13
2,8
1,3
3,4
1,9
0,1
0,0
