Men,Women
514,499
478,438
435,463
427,449
378,377
416,372
357,322
383,356
355,370
346,369
361,349
317,350
349,342
352,378
331,343
387,372
413,361
350,362
305,337
506,663
826,"1,020"
747,"1,061"
759,993
746,"1,031"
809,"1,118"
854,"1,164"
813,"1,009"
824,"1,015"
831,"1,002"
840,957
818,893
683,813
724,749
649,747
630,684
687,699
606,661
601,654
679,628
690,731
717,727
580,657
576,640
588,620
579,654
725,675
601,644
626,624
609,609
571,662
672,677
617,616
594,699
664,690
636,679
640,717
611,689
636,711
580,616
555,641
585,672
509,666
507,670
476,710
444,623
394,635
424,587
468,565
359,512
299,454
333,404
307,411
276,398
276,343
252,362
235,335
220,319
222,337
186,279
218,287
179,318
153,243
149,247
143,238
111,243
127,271
88,215
73,188
73,165
54,152
40,138
42,102
15,92
21,82
21,61
16,56
12,51
6,36
6,26
6,15
2,6
0,0
