Men,Women
336,342
348,363
400,382
434,426
407,385
387,369
436,421
412,416
439,364
439,403
430,417
482,444
489,436
490,457
453,474
468,441
514,471
472,461
491,427
425,368
399,408
423,373
378,368
378,343
377,383
388,397
343,407
369,379
379,401
351,369
380,391
367,379
361,398
334,415
370,415
362,450
352,438
410,449
461,477
490,519
469,543
467,487
448,455
452,487
457,501
480,584
469,598
471,589
523,549
516,530
471,568
485,502
440,548
428,494
425,520
457,440
429,440
406,435
379,441
385,441
356,364
310,362
324,415
384,397
271,352
289,367
270,288
289,357
275,333
228,233
206,277
216,258
218,252
186,229
205,217
170,194
183,176
136,211
133,190
147,182
128,198
128,173
116,182
85,164
83,144
102,151
81,122
70,117
52,105
37,84
35,65
30,49
25,56
16,22
12,25
13,11
3,18
2,10
2,3
1,8
1,5
0,2
0,0
