course_id,user_id,registered,viewed,explored,certified,ip,cc_by_ip,countryLabel,continent,city,region,subdivision,postalCode,un_major_region,un_economic_group,un_developing_nation,un_special_region,latitude,longitude,LoE,YoB,gender,grade,passing_grade,start_time,first_event,last_event,nevents,ndays_act,nplay_video,nchapters,nforum_posts,nforum_votes,nforum_endorsed,nforum_threads,nforum_comments,nforum_pinned,roles,nprogcheck,nproblem_check,nforum_events,mode,is_active,cert_created_date,cert_modified_date,cert_status,completed
HarvardX/PH525.1x/1T2018,7940,False,,False,False,81.108.107.58,GB,United Kingdom,Europe,Middlesbrough,MDB,Middlesbrough,,Northern Europe,Developed regions,,,54.5728,-1.1628,,,,,0.7,2018-04-10 08:30:28,2018-04-10 08:30:28.055918,2018-04-10 08:30:38.600946,6,2,0,,,,,,,,Student,0,0,0,audit,1,,,,
HarvardX/PH525.1x/1T2018,21193,True,True,False,False,103.108.88.2,,,,,,,,,,,,,,b,1993,m,,0.7,2018-02-06 13:45:52,2018-02-06 00:00:00,2018-05-05 18:24:23.645179,785,11,95,5,,,,,,,Student,0,142,0,audit,0,,,,
HarvardX/PH525.1x/1T2018,27938,True,True,False,False,179.214.111.130,BR,Brazil,Americas,Brasília,DF,Federal,71920,South America,Developing_Nations,,Latin America and the Caribbean,-15.7833,-47.9167,b,1992,m,,0.7,2018-01-30 18:10:51,2018-01-30 18:10:50.819162,2018-05-27 01:02:43.640466,829,37,51,3,,,,,,,Student,0,207,0,audit,0,,,,
HarvardX/PH525.1x/1T2018,28454,True,False,False,False,177.18.230.216,BR,Brazil,Americas,Guarulhos,SP,Sao Paulo,,South America,Developing_Nations,,Latin America and the Caribbean,-23.4507,-46.5262,m,1980,m,,0.7,2018-04-24 23:35:15,2018-04-24 23:35:15.449395,2018-04-24 23:35:41.878589,9,1,0,1,,,,,,,Student,0,0,0,audit,1,,,,
HarvardX/PH525.1x/1T2018,43100,False,,False,False,213.249.56.36,GR,Greece,Europe,Athens,I,Attica,,Southern Europe,Developed regions,,,37.9833,23.7333,,,,,0.7,2018-01-16 15:48:29,2018-01-16 15:48:29.309103,2018-01-16 15:48:29.309103,1,1,0,,,,,,,,Student,0,0,0,audit,1,,,,
HarvardX/PH525.1x/1T2018,44413,False,,False,False,95.91.213.204,DE,Germany,Europe,Berlin,BE,Land Berlin,10245,Western Europe,Developed regions,,,52.5167,13.4,hs,1991,m,,0.7,2018-01-13 20:23:49,2018-01-13 20:23:49.146398,2018-01-13 20:42:59.744946,3,1,0,,,,,,,,Student,0,0,0,audit,1,,,,
HarvardX/PH525.1x/1T2018,45324,False,,False,False,99.49.42.33,US,United States,Americas,Austin,TX,Texas,78738,Northern America,Developed regions,,,30.3054,-98.0,,,,,0.7,2018-01-01 21:55:18,2018-01-01 21:55:17.732324,2018-01-01 21:59:03.914331,3,1,0,,,,,,,,Student,0,0,0,audit,1,,,,
HarvardX/PH525.1x/1T2018,45875,True,False,False,False,190.62.244.108,SV,El Salvador,Americas,San Salvador,SS,Departamento de San Salvador,,Central America,Developing_Nations,,Latin America and the Caribbean,13.7086,-89.2031,m,1991,m,,0.7,2018-02-11 16:33:04,2018-02-11 16:33:04.273116,2018-02-11 17:22:27.670244,17,1,0,1,,,,,,,Student,0,0,0,audit,0,,,,
HarvardX/PH525.1x/1T2018,52081,False,,False,False,165.225.104.86,US,United States,Americas,Duncan,SC,South Carolina,29334,Northern America,Developed regions,,,34.9379,-82.1451,b,1990,m,,0.7,2018-01-16 17:24:53,2018-01-16 17:24:52.756885,2018-04-02 06:58:19.368770,43,15,0,,,,,,,,Student,0,0,0,audit,1,,,,
HarvardX/PH525.1x/1T2018,54513,True,True,False,False,71.212.103.239,US,United States,Americas,Seattle,WA,Washington,98101,Northern America,Developed regions,,,47.6062,-122.3321,,,,,0.7,2018-03-09 21:29:13,2018-03-09 21:29:13.050243,2018-03-26 15:51:50.556385,2698,14,486,5,,,,,,,Student,0,520,0,audit,1,,,,
HarvardX/PH525.1x/1T2018,55052,True,False,False,False,83.52.182.143,ES,Spain,Europe,Sevilla,SE,Seville,,Southern Europe,Developed regions,,,37.3824,-5.9761,,,,,0.7,2018-02-15 21:35:17,2018-02-15 00:00:00,2018-02-15 22:24:16.430179,14,1,1,1,,,,,,,Student,0,0,0,audit,1,,,,
HarvardX/PH525.1x/1T2018,60651,False,,False,False,4.16.254.186,US,United States,North America,,,,,Northern America,Developed regions,,,38.0,-97.0,p,1980,m,,0.7,2018-01-16 15:34:30,2018-01-16 15:34:30.538033,2018-02-03 02:18:08.178340,10,2,0,,,,,,,,Student,0,0,0,audit,1,,,,
HarvardX/PH525.1x/1T2018,66844,False,,False,False,181.56.67.49,CO,Colombia,South America,,,,,South America,Developing_Nations,,Latin America and the Caribbean,4.5981,-74.0758,,,,,0.7,2018-01-17 02:56:13,2018-01-17 02:56:13.255189,2018-01-17 02:56:13.255189,1,1,0,,,,,,,,Student,0,0,0,audit,1,,,,
HarvardX/PH525.1x/1T2018,92609,False,,False,False,200.108.131.9,PY,Paraguay,Americas,Asunción,ASU,Asuncion,,South America,Developing_Nations,,Latin America and the Caribbean,-25.2939,-57.6111,b,1989,m,,0.7,2018-01-16 12:55:28,2018-01-16 12:55:28.066936,2018-02-14 14:45:34.480831,2,2,0,,,,,,,,Student,0,0,0,audit,0,,,,
HarvardX/PH525.1x/1T2018,96940,True,True,False,False,174.62.69.127,US,United States,Americas,Santa Cruz,CA,California,95060,Northern America,Developed regions,,,36.9741,-122.0308,,,,,0.7,2018-03-22 16:10:30,2018-03-22 16:10:30.172779,2018-06-09 22:21:09.433611,588,21,60,3,,,,,,,Student,0,0,0,audit,1,,,,
