course_id,user_id,viewed,explored,certified,completed,ip,cc_by_ip,countryLabel,continent,city,region,subdivision,postalCode,un_major_region,un_economic_group,un_developing_nation,un_special_region,latitude,longitude,LoE,YoB,gender,grade,passing_grade,start_time,first_event,last_event,nevents,ndays_act,nplay_video,nchapters,nforum_posts,nforum_votes,nforum_endorsed,nforum_threads,nforum_comments,nforum_pinned,roles,nprogcheck,nproblem_check,nforum_events,mode,is_active,cert_created_date,cert_modified_date,cert_status,unknown_date
HarvardX/PH525.1x/1T2018,7054724,False,,False,False,186.101.151.29,EC,Ecuador,Americas,Quito,P,Provincia de Pichincha,,South America,Developing_Nations,,Latin America and the Caribbean,-0.2167,-78.5,hs,1989,m,
HarvardX/HKS101A/2015T3,1592054,True,False,True,True,74.70.103.13,US,United States,Americas,Schenectady,NY,New York,12309,Northern America,Developed regions,,,42.7944,-73.8651,p,1984,m,0.0,0.7,2016-01-09 21:37:22,2016-01-09 00:00:00,2016-01-09 21:39:47.924000,13,1,4,2,,,,,,,Student,0,0,0,honor,1,2016-01-13 22:05:11,2016-01-27 14:55:39,downloadable,
HarvardX/HKS101A/2015T3,4261498,False,,True,True,83.110.73.36,AE,United Arab Emirates,Asia,Abu Dhabi,AZ,Abu Dhabi,,Western Asia,Developing_Nations,,,24.4667,54.3667,m,1987,m,0.0,0.7,2016-01-08 15:40:45,,,,,,,,,,,,,Student,,,,honor,1,2016-01-13 22:04:41,2016-01-27 14:59:40,downloadable,
HarvardX/HKS101A/2015T3,7419933,False,,True,True,,,,,,,,,,,,,,,b,1989,f,0.0,0.7,2016-01-12 21:48:38,,,,,,,,,,,,,Student,,,,honor,1,2016-01-13 21:41:05,2016-01-27 15:06:02,downloadable,
HarvardX/HKS101A/2015T3,7589779,True,False,True,True,,,,,,,,,,,,,,,m,1984,m,0.0,0.7,2016-01-07 12:57:47,2016-01-07 00:00:00,2016-05-01 15:44:54.907428,103,7,28,15,,,,,,,Student,0,0,0,honor,1,2016-01-13 22:11:33,2016-01-27 15:06:04,downloadable,
HarvardX/HKS101A/2015T3,8064707,True,False,False,False,216.188.250.48,US,United States,North America,,
HarvardX/HKS101A/2015T3,8673162,False,,True,True,,,,,,,,,,,,,,,b,1992,m,0.0,0.7,2016-01-12 22:39:53,,,,,,,,,,,,,Student,,,,honor,1,2016-01-13 22:22:31,2016-01-27 15:06:07,downloadable,
HarvardX/HKS101A/2015T3,9901281,False,,False,False,68.40.41.244,US,United States,Americas,West Bloomfield,MI,Michigan
HarvardX/PH201x/2013_SOND,1034103,False,,False,False,95.20.231.122,ES,Spain,Europe,Santiago De Compostela,C,A Coruña,,Southern Europe,Developed regions,,,42.88,-8.5448,b,1990,f,0.0,0.75
HarvardX/PH201x/2013_SOND,1442664,False,,False,False,94.194.230.8,GB,United Kingdom,Europe,Great Missenden,BKM,Buckinghamshire,HP16,Northern Europe
HarvardX/PH201x/2013_SOND,2060979,False,,False
HarvardX/PH201x/2013_SOND,2963851,True,False,False,False,117.221.9.40,IN,India,Asia,Mysore,KA,Karnataka,,Southern Asia,Developing_Nations,,,12.3072,76.6497,p,1977,m,0.01,0.75,2013-12-19 12:23:14,2013-12-19 00:00:00,2014-01-11 04:40:47.168074,125,2,1,3,,,,,
HarvardX/PH525.1x/1T2015,6294214,True,False,False,False,98.178.195.134,US,United States,Americas,Kenner,LA,Louisiana,70065,Northern America,Developed regions,,,30.0282,-90.2505,hs,1996,m,,0.7,2015-09-06 18:48:49,2015-09-06 18:48:53.666255,2016-02-18 22:12:31.539041,8
HarvardX/PH525.1x/1T2015,6840580,True,False,False,False,129.31.117.230,GB,United Kingdom,Europe,London,ENG,England,,Northern Europe,Developed regions,,,51.5142,-0.0931,m,1989,f,0.0,0.7,2015-04-08 13:24:22,2015-04-08 13:24:22.659597,2015-04-08 13:26:54.447459,11,1,0,1,,,,,,,Student,1
HarvardX/1368.4x/2T2015,4907634,False,,False,False,146.141.1.90,ZA,South Africa,Africa,Johannesburg,GP,Gauteng,,Southern Africa,Developing_Nations,,Sub-Saharan-Africa,-26.2052,28.0498,hs,1994,m,0.0,0.75,2015-02-04 15:20:51,,,,,,,,,,,,,Student,
HarvardX/PH210x/1T2014,19290206,True,False,False,False,,,,,,,,,,,,,,,,,,,,2018-05-20 03:33:55,,,,,,8,1,0,0,0,1,0,Student
HarvardX/HKS101A/1T2017,13869589,False,,False,False,212.252.80.121,TR,Turkey,Asia,Ankara,06,Ankara,,Western Asia,Developing_Nations,,,39.9117,32.8403,,1990,,,0.7,2017-09-06 14:38:15,2017-09-06 14:38:14.562066,2017-09-06 14:38:14.562066,2,2,0,,,,,,,,Student
HarvardX/PH555x/2014_T2,4351497,False,,False,False,27.123.171.3,FJ,Fiji,Oceania,Suva,C,Central,,Melanesia,Developing_Nations,,,-18.1333
HarvardX/PH555x/2014_T2,8185355,False
HarvardX/PH125.1x/1T2018,18837775,False,,False,False,192.193.164.9,,,Asia,,,,,,,,,35.0,105.0,
HarvardX/PH125.1x/1T2018,19296005,True,True,False,False,24.229.145.79,US,United States,Americas,Easton,PA,Pennsylvania,18042,Northern America,Developed regions,,,40.6415
HarvardX/PH527x/3T2017,12539827,False,,False,False,194.225.26.49,IR,Iran,Asia,Tehran
HarvardX/CS50x/2014_T1,334241,True,True,True,True,70.77.222.236,CA,Canada,Americas,Castlegar,BC,British Columbia,V1N,Northern America,Developed regions,,,49.3167,-117.6667,b,1984,f,0.0,0.6,2014-03-23 22:31:02,2014-03-23 22:31:02.662437,2015-01-02 02:31:28.225936,3255,74,1051,11,,,,,,,Student,0,0,0,verified,1,2014-06-06 19:31:44,2015-01-21 02:43:46,downloadable,2014-09-20 18:33:11.724611
HarvardX/CS50x/2014_T1,336473,True,True,True,True,92.139.79.177,FR,France,Europe,Andouillé-neuville,35,Ille-et-Vilaine,,Western Europe,Developed regions,,,48.2928,-1.5896,b,1982,m,0.0,0.6,2013-09-27 18:33:35,2014-01-01 00:00:00,2014-09-15 16:19:25.071099,2469,105,28,11,,,,,,,Student,0,0,0,verified,1,2014-06-06 15:59:01,2014-09-15 17:21:56,downloadable,
HarvardX/CS50x/2014_T1,504061,True,True,True,True,190.53.25.75,SV,El Salvador,Americas,Santa Tecla,LI,Departamento de La Libertad,,Central America,Developing_Nations,,Latin America and the Caribbean,13.6769,-89.2797,b,1993,m,0.0,0.6,2014-12-03 00:01:25,2014-12-03 00:00:00,2015-01-12 21:18:53.473906,2771,27,882,11,,,,,,,Student,0,0,0,honor,1,2015-01-21 02:24:23,2015-01-21 02:25:05,downloadable,
HarvardX/CS50x/2014_T1,528740,True,True,True,True,192.156.213.7,IT,Italy,Europe,Rome,RM,Rome,00185,Southern Europe,Developed regions,,,41.9,12.4833,m,1987,m,0.0,0.6,2014-01-26 10:20:40,2014-01-26 00:00:00,2015-03-27 09:26:05.750494,5065,66,1682,11,,,,,,,Student,0,0,0,honor,1,2014-06-06 18:41:03,2015-01-21 02:25:41,downloadable,
HarvardX/CS50x/2014_T1,629089,True,False,False,False,66.27.121.246,US,United States,Americas,San Diego,CA,California,92129,Northern America,Developed regions,,,32.9656,-117.127,jhs,1996,m,0.0
HarvardX/CS50x/2014_T1,669773,True,True,True,True,213.203.155.23,IT,Italy,Europe,Rome,RM,Rome,00142,Southern Europe,Developed regions,,,41.9,12.4833,b,1962,m,0.0,0.6,2014-02-25 09:24:49,2014-02-25 00:00:00,2015-01-01 20:14:21.889417,3401,123,623,11,,,,,,,Student,0,0,0,honor,1,2014-06-06 19:06:55,2014-06-06 19:06:59,downloadable,
HarvardX/CS50x/2014_T1,704375,False,,False,False,173.167.27.34,US,United States,Americas,Dearborn Heights,MI,Michigan,48125,Northern America,Developed regions,,,42.337,-83.2733
HarvardX/CS50x/2014_T1,741347,True,True,True,True,41.69.177.163,EG,Egypt,Africa,Cairo,C,Muhafazat al Qahirah,,Northern Africa,Developing_Nations,,,30.0771,31.2859,hs,1992,m,0.0,0.6,2013-07-14 14:43:49,2014-01-01 00:00:00,2015-02-03 02:14:36.591823,2166,109,2,11,,,,,,,Student,0,0,0,honor,1,2014-06-06 15:13:25,2015-01-21 02:37:18,downloadable,
HarvardX/CS50x/2014_T1,775133,True,True,True,True,39.50.150.164,PK,Pakistan,Asia,Karachi,SD,Sindh,,Southern Asia,Developing_Nations,,,24.9056,67.0822,b,1995,m,0.0,0.6,2013-09-09 18:14:48,2014-04-27 07:32:22.644195,2015-06-24 20:12:57.983979,1197,59,157,11,,,,,,,Student,0,0,0,honor,0,2014-06-06 15:49:57,2014-09-15 17:13:00,downloadable,
HarvardX/CS50x/2014_T1,787938,True,True,True,True,98.202.28.196,US,United States,Americas,Logan,UT,Utah,84321,Northern America,Developed regions,,,41.7355,-111.8344,b,1986,m,0.0,0.6,2014-04-02 22:41:06,2014-04-02 22:31:53.727174,2014-07-27 06:05:16.675528,4065,44,1347,9,,,,,,,Student,0,0,0,honor,1,2014-06-06 19:40:41,2015-01-21 02:24:15,downloadable,
HarvardX/CS50x/2014_T1,802203,True,True,True,True,123.238.176.21,IN,India,Asia,Bhopal,MP,Madhya Pradesh,,Southern Asia,Developing_Nations,,,23.2667,77.4,hs,1993,m,0.0,0.6,2013-08-07 20:24:45,2014-01-01 00:00:00,2015-01-02 08:32:52.456924,1617,105,21,11,,,,,,,Student,0,0,0,verified,1,2014-06-06 15:31:02,2015-01-21 02:25:46,downloadable,
HarvardX/CS50x/2014_T1,894513,True,True,True,True,77.57.208.239,CH,Switzerland,Europe,Basel,BS,Basel-City,4053,Western Europe,Developed regions,,,47.5383,7.601,hs,1992,m,0.0,0.6,2013-08-30 23:46:08,2014-01-06 00:00:00,2016-02-19 13:02:33.437151,4624,66,1579,11,,,,,,,Student,0,0,0,verified,1,2014-06-06 15:44:03,2015-01-21 02:36:54,downloadable,2014-12-31 10:04:50.261375
